AI-Rank-log 1617000154.2617233 load_data, checksum:xxx
AI-Rank-log 1617000240.8035393 total_accuracy:0.025120578706264496, total_samples_cnt:19904
AI-Rank-log 1617000240.935444 total_accuracy:0.025080256164073944, total_samples_cnt:19936
AI-Rank-log 1617000241.1319282 total_accuracy:0.02504006400704384, total_samples_cnt:19968
AI-Rank-log 1617000241.237762 total_accuracy:0.02499999850988388, total_samples_cnt:20000
AI-Rank-log 1617000241.3675773 total_accuracy:0.02496006339788437, total_samples_cnt:20032
AI-Rank-log 1617000241.4719431 total_accuracy:0.024920254945755005, total_samples_cnt:20064
AI-Rank-log 1617000241.5751555 total_accuracy:0.02488057315349579, total_samples_cnt:20096
AI-Rank-log 1617000241.6781611 total_accuracy:0.02484101802110672, total_samples_cnt:20128
AI-Rank-log 1617000241.7992947 total_accuracy:0.02480158768594265, total_samples_cnt:20160
AI-Rank-log 1617000241.903428 total_accuracy:0.024762282148003578, total_samples_cnt:20192
AI-Rank-log 1617000242.0161023 total_accuracy:0.024723101407289505, total_samples_cnt:20224
AI-Rank-log 1617000242.1200378 total_accuracy:0.02468404546380043, total_samples_cnt:20256
AI-Rank-log 1617000242.2253296 total_accuracy:0.024645110592246056, total_samples_cnt:20288
AI-Rank-log 1617000242.329333 total_accuracy:0.02460629865527153, total_samples_cnt:20320
AI-Rank-log 1617000242.4972494 total_accuracy:0.024567609652876854, total_samples_cnt:20352
AI-Rank-log 1617000242.602411 total_accuracy:0.024529043585062027, total_samples_cnt:20384
AI-Rank-log 1617000242.759641 total_accuracy:0.0244905948638916, total_samples_cnt:20416
AI-Rank-log 1617000242.8636372 total_accuracy:0.024452269077301025, total_samples_cnt:20448
AI-Rank-log 1617000242.9717166 total_accuracy:0.0830078125, total_samples_cnt:20480
AI-Rank-log 1617000243.0960333 total_accuracy:0.12675507366657257, total_samples_cnt:20512
AI-Rank-log 1617000243.2478662 total_accuracy:0.1265576332807541, total_samples_cnt:20544
AI-Rank-log 1617000243.4109554 total_accuracy:0.12636080384254456, total_samples_cnt:20576
AI-Rank-log 1617000243.5644324 total_accuracy:0.13101708889007568, total_samples_cnt:20608
AI-Rank-log 1617000243.6681905 total_accuracy:0.13081395626068115, total_samples_cnt:20640
AI-Rank-log 1617000243.7966597 total_accuracy:0.13061144948005676, total_samples_cnt:20672
AI-Rank-log 1617000243.900109 total_accuracy:0.1304095834493637, total_samples_cnt:20704
AI-Rank-log 1617000244.0291972 total_accuracy:0.1302083283662796, total_samples_cnt:20736
AI-Rank-log 1617000244.1381323 total_accuracy:0.13000771403312683, total_samples_cnt:20768
AI-Rank-log 1617000244.2901843 total_accuracy:0.12980769574642181, total_samples_cnt:20800
AI-Rank-log 1617000244.4189515 total_accuracy:0.12960828840732574, total_samples_cnt:20832
AI-Rank-log 1617000244.5230072 total_accuracy:0.12940950691699982, total_samples_cnt:20864
AI-Rank-log 1617000244.6462297 total_accuracy:0.12921133637428284, total_samples_cnt:20896
AI-Rank-log 1617000244.749103 total_accuracy:0.1290137618780136, total_samples_cnt:20928
AI-Rank-log 1617000244.9092455 total_accuracy:0.12881679832935333, total_samples_cnt:20960
AI-Rank-log 1617000244.9978123 total_accuracy:0.13338413834571838, total_samples_cnt:20992
AI-Rank-log 1617000245.1318667 total_accuracy:0.1331811249256134, total_samples_cnt:21024
AI-Rank-log 1617000245.2360053 total_accuracy:0.13297872245311737, total_samples_cnt:21056
AI-Rank-log 1617000245.729444 total_accuracy:0.14226099848747253, total_samples_cnt:21088
AI-Rank-log 1617000245.8185198 total_accuracy:0.14678029716014862, total_samples_cnt:21120
AI-Rank-log 1617000245.9548113 total_accuracy:0.1465582400560379, total_samples_cnt:21152
AI-Rank-log 1617000246.0428388 total_accuracy:0.1463368535041809, total_samples_cnt:21184
AI-Rank-log 1617000246.2018435 total_accuracy:0.14611613750457764, total_samples_cnt:21216
AI-Rank-log 1617000246.2896614 total_accuracy:0.1458960771560669, total_samples_cnt:21248
AI-Rank-log 1617000246.4496377 total_accuracy:0.14567668735980988, total_samples_cnt:21280
AI-Rank-log 1617000246.5386171 total_accuracy:0.14545796811580658, total_samples_cnt:21312
AI-Rank-log 1617000246.6863344 total_accuracy:0.14523988962173462, total_samples_cnt:21344
AI-Rank-log 1617000246.7747946 total_accuracy:0.1450224667787552, total_samples_cnt:21376
AI-Rank-log 1617000246.9138272 total_accuracy:0.1448056846857071, total_samples_cnt:21408
AI-Rank-log 1617000247.0029643 total_accuracy:0.14458955824375153, total_samples_cnt:21440
AI-Rank-log 1617000247.152975 total_accuracy:0.1443740725517273, total_samples_cnt:21472
AI-Rank-log 1617000247.2411306 total_accuracy:0.1441592276096344, total_samples_cnt:21504
AI-Rank-log 1617000247.4112923 total_accuracy:0.1485884040594101, total_samples_cnt:21536
AI-Rank-log 1617000247.499308 total_accuracy:0.1483679562807083, total_samples_cnt:21568
AI-Rank-log 1617000247.7082767 total_accuracy:0.14814814925193787, total_samples_cnt:21600
AI-Rank-log 1617000247.7968717 total_accuracy:0.14792899787425995, total_samples_cnt:21632
AI-Rank-log 1617000247.9745 total_accuracy:0.14771048724651337, total_samples_cnt:21664
AI-Rank-log 1617000248.0626736 total_accuracy:0.14749261736869812, total_samples_cnt:21696
AI-Rank-log 1617000248.2236822 total_accuracy:0.1472754031419754, total_samples_cnt:21728
AI-Rank-log 1617000248.3119829 total_accuracy:0.14705882966518402, total_samples_cnt:21760
AI-Rank-log 1617000248.4604278 total_accuracy:0.14684288203716278, total_samples_cnt:21792
AI-Rank-log 1617000248.5492907 total_accuracy:0.14662756025791168, total_samples_cnt:21824
AI-Rank-log 1617000248.6978152 total_accuracy:0.15556368231773376, total_samples_cnt:21856
AI-Rank-log 1617000248.7863617 total_accuracy:0.23757310211658478, total_samples_cnt:21888
AI-Rank-log 1617000248.9109554 total_accuracy:0.2782846689224243, total_samples_cnt:21920
AI-Rank-log 1617000248.9989226 total_accuracy:0.2778790295124054, total_samples_cnt:21952
AI-Rank-log 1617000249.1456118 total_accuracy:0.2774745225906372, total_samples_cnt:21984
AI-Rank-log 1617000249.2343566 total_accuracy:0.2770712077617645, total_samples_cnt:22016
AI-Rank-log 1617000249.37235 total_accuracy:0.27666908502578735, total_samples_cnt:22048
AI-Rank-log 1617000249.460994 total_accuracy:0.2762681245803833, total_samples_cnt:22080
AI-Rank-log 1617000249.6421916 total_accuracy:0.27586829662323, total_samples_cnt:22112
AI-Rank-log 1617000249.7307475 total_accuracy:0.27546966075897217, total_samples_cnt:22144
AI-Rank-log 1617000249.883635 total_accuracy:0.2750721573829651, total_samples_cnt:22176
AI-Rank-log 1617000249.971561 total_accuracy:0.27467578649520874, total_samples_cnt:22208
AI-Rank-log 1617000250.1271205 total_accuracy:0.2742805778980255, total_samples_cnt:22240
AI-Rank-log 1617000250.2148066 total_accuracy:0.273886501789093, total_samples_cnt:22272
AI-Rank-log 1617000250.3695648 total_accuracy:0.27349355816841125, total_samples_cnt:22304
AI-Rank-log 1617000250.4590218 total_accuracy:0.27310171723365784, total_samples_cnt:22336
AI-Rank-log 1617000250.6111574 total_accuracy:0.27271100878715515, total_samples_cnt:22368
AI-Rank-log 1617000250.6993656 total_accuracy:0.2723214328289032, total_samples_cnt:22400
AI-Rank-log 1617000250.863237 total_accuracy:0.2719329595565796, total_samples_cnt:22432
AI-Rank-log 1617000250.968422 total_accuracy:0.2715455889701843, total_samples_cnt:22464
AI-Rank-log 1617000251.1280358 total_accuracy:0.2711593210697174, total_samples_cnt:22496
AI-Rank-log 1617000251.2170959 total_accuracy:0.27077415585517883, total_samples_cnt:22528
AI-Rank-log 1617000251.4820347 total_accuracy:0.2703900635242462, total_samples_cnt:22560
AI-Rank-log 1617000251.5707285 total_accuracy:0.27000707387924194, total_samples_cnt:22592
AI-Rank-log 1617000251.7396014 total_accuracy:0.269625186920166, total_samples_cnt:22624
AI-Rank-log 1617000251.828289 total_accuracy:0.26924434304237366, total_samples_cnt:22656
AI-Rank-log 1617000252.1952834 total_accuracy:0.26886460185050964, total_samples_cnt:22688
AI-Rank-log 1617000252.2842345 total_accuracy:0.2684859037399292, total_samples_cnt:22720
AI-Rank-log 1617000252.4440842 total_accuracy:0.2681082785129547, total_samples_cnt:22752
AI-Rank-log 1617000252.532314 total_accuracy:0.26773175597190857, total_samples_cnt:22784
AI-Rank-log 1617000252.8323853 total_accuracy:0.2673562467098236, total_samples_cnt:22816
AI-Rank-log 1617000252.9209728 total_accuracy:0.2669818103313446, total_samples_cnt:22848
AI-Rank-log 1617000253.052734 total_accuracy:0.2666083872318268, total_samples_cnt:22880
AI-Rank-log 1617000253.158575 total_accuracy:0.2662360370159149, total_samples_cnt:22912
AI-Rank-log 1617000253.424992 total_accuracy:0.26586470007896423, total_samples_cnt:22944
AI-Rank-log 1617000253.5138316 total_accuracy:0.2654944360256195, total_samples_cnt:22976
AI-Rank-log 1617000253.6356206 total_accuracy:0.26512518525123596, total_samples_cnt:23008
AI-Rank-log 1617000253.724062 total_accuracy:0.2647569477558136, total_samples_cnt:23040
AI-Rank-log 1617000253.8589315 total_accuracy:0.2643897533416748, total_samples_cnt:23072
AI-Rank-log 1617000253.9471111 total_accuracy:0.2640235424041748, total_samples_cnt:23104
AI-Rank-log 1617000254.0971577 total_accuracy:0.2636583745479584, total_samples_cnt:23136
AI-Rank-log 1617000254.185876 total_accuracy:0.2632942199707031, total_samples_cnt:23168
AI-Rank-log 1617000254.396278 total_accuracy:0.26293104887008667, total_samples_cnt:23200
AI-Rank-log 1617000254.500838 total_accuracy:0.262568861246109, total_samples_cnt:23232
AI-Rank-log 1617000254.6612322 total_accuracy:0.2622077167034149, total_samples_cnt:23264
AI-Rank-log 1617000254.8116992 total_accuracy:0.26184752583503723, total_samples_cnt:23296
AI-Rank-log 1617000255.077262 total_accuracy:0.2614883482456207, total_samples_cnt:23328
AI-Rank-log 1617000255.1657858 total_accuracy:0.261130154132843, total_samples_cnt:23360
AI-Rank-log 1617000255.6288657 total_accuracy:0.2607729136943817, total_samples_cnt:23392
AI-Rank-log 1617000255.717495 total_accuracy:0.2604166567325592, total_samples_cnt:23424
AI-Rank-log 1617000255.8936896 total_accuracy:0.2600613832473755, total_samples_cnt:23456
AI-Rank-log 1617000255.9826965 total_accuracy:0.25970709323883057, total_samples_cnt:23488
AI-Rank-log 1617000256.1289268 total_accuracy:0.25935375690460205, total_samples_cnt:23520
AI-Rank-log 1617000256.217535 total_accuracy:0.2632472813129425, total_samples_cnt:23552
AI-Rank-log 1617000256.3746586 total_accuracy:0.262890100479126, total_samples_cnt:23584
AI-Rank-log 1617000256.462413 total_accuracy:0.26253387331962585, total_samples_cnt:23616
AI-Rank-log 1617000256.6110106 total_accuracy:0.26217859983444214, total_samples_cnt:23648
AI-Rank-log 1617000256.7003796 total_accuracy:0.2618243396282196, total_samples_cnt:23680
AI-Rank-log 1617000256.8388321 total_accuracy:0.2614709734916687, total_samples_cnt:23712
AI-Rank-log 1617000256.9430032 total_accuracy:0.2611185908317566, total_samples_cnt:23744
AI-Rank-log 1617000257.0525942 total_accuracy:0.2607671618461609, total_samples_cnt:23776
AI-Rank-log 1617000257.156267 total_accuracy:0.2604166567325592, total_samples_cnt:23808
AI-Rank-log 1617000257.313588 total_accuracy:0.2600671350955963, total_samples_cnt:23840
AI-Rank-log 1617000257.45465 total_accuracy:0.25971850752830505, total_samples_cnt:23872
AI-Rank-log 1617000257.5944004 total_accuracy:0.2593708038330078, total_samples_cnt:23904
AI-Rank-log 1617000257.6985848 total_accuracy:0.25902408361434937, total_samples_cnt:23936
AI-Rank-log 1617000257.8236074 total_accuracy:0.25867825746536255, total_samples_cnt:23968
AI-Rank-log 1617000257.931491 total_accuracy:0.25833332538604736, total_samples_cnt:24000
AI-Rank-log 1617000258.0698555 total_accuracy:0.2579893469810486, total_samples_cnt:24032
AI-Rank-log 1617000258.1743171 total_accuracy:0.25764626264572144, total_samples_cnt:24064
AI-Rank-log 1617000258.3098156 total_accuracy:0.2573041319847107, total_samples_cnt:24096
AI-Rank-log 1617000258.4182293 total_accuracy:0.2569628655910492, total_samples_cnt:24128
AI-Rank-log 1617000258.5504718 total_accuracy:0.2566225230693817, total_samples_cnt:24160
AI-Rank-log 1617000258.6912804 total_accuracy:0.25628307461738586, total_samples_cnt:24192
AI-Rank-log 1617000258.8825939 total_accuracy:0.25594452023506165, total_samples_cnt:24224
AI-Rank-log 1617000258.9873765 total_accuracy:0.25560685992240906, total_samples_cnt:24256
AI-Rank-log 1617000259.1102176 total_accuracy:0.2552700936794281, total_samples_cnt:24288
AI-Rank-log 1617000259.2142923 total_accuracy:0.2549342215061188, total_samples_cnt:24320
AI-Rank-log 1617000259.3364558 total_accuracy:0.2545992136001587, total_samples_cnt:24352
AI-Rank-log 1617000259.440436 total_accuracy:0.25426509976387024, total_samples_cnt:24384
AI-Rank-log 1617000259.5555255 total_accuracy:0.25393185019493103, total_samples_cnt:24416
AI-Rank-log 1617000259.658976 total_accuracy:0.25359946489334106, total_samples_cnt:24448
AI-Rank-log 1617000259.8211286 total_accuracy:0.25326797366142273, total_samples_cnt:24480
AI-Rank-log 1617000259.941735 total_accuracy:0.25293734669685364, total_samples_cnt:24512
AI-Rank-log 1617000260.0733025 total_accuracy:0.2526075541973114, total_samples_cnt:24544
AI-Rank-log 1617000260.1778083 total_accuracy:0.2522786557674408, total_samples_cnt:24576
AI-Rank-log 1617000260.288026 total_accuracy:0.25195059180259705, total_samples_cnt:24608
AI-Rank-log 1617000260.432919 total_accuracy:0.25162336230278015, total_samples_cnt:24640
AI-Rank-log 1617000260.5362132 total_accuracy:0.2512970268726349, total_samples_cnt:24672
AI-Rank-log 1617000260.6591163 total_accuracy:0.2509714961051941, total_samples_cnt:24704
AI-Rank-log 1617000260.7642562 total_accuracy:0.25064682960510254, total_samples_cnt:24736
AI-Rank-log 1617000260.8911617 total_accuracy:0.25032299757003784, total_samples_cnt:24768
AI-Rank-log 1617000261.0020087 total_accuracy:0.25, total_samples_cnt:24800
AI-Rank-log 1617000261.134235 total_accuracy:0.24967782199382782, total_samples_cnt:24832
AI-Rank-log 1617000261.276816 total_accuracy:0.24935650825500488, total_samples_cnt:24864
AI-Rank-log 1617000261.400104 total_accuracy:0.24903598427772522, total_samples_cnt:24896
AI-Rank-log 1617000261.5132604 total_accuracy:0.2487163096666336, total_samples_cnt:24928
AI-Rank-log 1617000261.6251638 total_accuracy:0.24839743971824646, total_samples_cnt:24960
AI-Rank-log 1617000261.7381582 total_accuracy:0.24807938933372498, total_samples_cnt:24992
AI-Rank-log 1617000261.8959928 total_accuracy:0.24776214361190796, total_samples_cnt:25024
AI-Rank-log 1617000262.0056713 total_accuracy:0.2474457174539566, total_samples_cnt:25056
AI-Rank-log 1617000262.1368148 total_accuracy:0.24713009595870972, total_samples_cnt:25088
AI-Rank-log 1617000262.2404976 total_accuracy:0.2468152940273285, total_samples_cnt:25120
AI-Rank-log 1617000262.3877976 total_accuracy:0.24650126695632935, total_samples_cnt:25152
AI-Rank-log 1617000262.5916739 total_accuracy:0.24618804454803467, total_samples_cnt:25184
AI-Rank-log 1617000262.6810553 total_accuracy:0.24587562680244446, total_samples_cnt:25216
AI-Rank-log 1617000262.835174 total_accuracy:0.24556399881839752, total_samples_cnt:25248
AI-Rank-log 1617000262.9244072 total_accuracy:0.24525316059589386, total_samples_cnt:25280
AI-Rank-log 1617000263.0740016 total_accuracy:0.26864728331565857, total_samples_cnt:25312
AI-Rank-log 1617000263.162594 total_accuracy:0.2998737394809723, total_samples_cnt:25344
AI-Rank-log 1617000263.2725303 total_accuracy:0.3113177716732025, total_samples_cnt:25376
AI-Rank-log 1617000263.3767905 total_accuracy:0.31092569231987, total_samples_cnt:25408
AI-Rank-log 1617000263.503357 total_accuracy:0.31053459644317627, total_samples_cnt:25440
AI-Rank-log 1617000263.6009948 total_accuracy:0.31014445424079895, total_samples_cnt:25472
AI-Rank-log 1617000263.777365 total_accuracy:0.3097553253173828, total_samples_cnt:25504
AI-Rank-log 1617000263.881724 total_accuracy:0.30936717987060547, total_samples_cnt:25536
AI-Rank-log 1617000264.1272535 total_accuracy:0.30897998809814453, total_samples_cnt:25568
AI-Rank-log 1617000264.2156937 total_accuracy:0.30859375, total_samples_cnt:25600
AI-Rank-log 1617000264.3206098 total_accuracy:0.30820849537849426, total_samples_cnt:25632
AI-Rank-log 1617000264.424035 total_accuracy:0.30782419443130493, total_samples_cnt:25664
AI-Rank-log 1617000264.5296443 total_accuracy:0.307440847158432, total_samples_cnt:25696
AI-Rank-log 1617000264.6328778 total_accuracy:0.3070584535598755, total_samples_cnt:25728
AI-Rank-log 1617000264.76754 total_accuracy:0.3066770136356354, total_samples_cnt:25760
AI-Rank-log 1617000264.869666 total_accuracy:0.30629652738571167, total_samples_cnt:25792
AI-Rank-log 1617000264.9933712 total_accuracy:0.30591699481010437, total_samples_cnt:25824
AI-Rank-log 1617000265.0971477 total_accuracy:0.3055383563041687, total_samples_cnt:25856
AI-Rank-log 1617000265.2185314 total_accuracy:0.3051607012748718, total_samples_cnt:25888
AI-Rank-log 1617000265.3229425 total_accuracy:0.30478397011756897, total_samples_cnt:25920
AI-Rank-log 1617000265.4867184 total_accuracy:0.30440813302993774, total_samples_cnt:25952
AI-Rank-log 1617000265.5758462 total_accuracy:0.3040332496166229, total_samples_cnt:25984
AI-Rank-log 1617000265.7311118 total_accuracy:0.3036592900753021, total_samples_cnt:26016
AI-Rank-log 1617000265.819761 total_accuracy:0.30328622460365295, total_samples_cnt:26048
AI-Rank-log 1617000265.9786668 total_accuracy:0.3029141128063202, total_samples_cnt:26080
AI-Rank-log 1617000266.2079723 total_accuracy:0.30254289507865906, total_samples_cnt:26112
AI-Rank-log 1617000266.3705728 total_accuracy:0.30217260122299194, total_samples_cnt:26144
AI-Rank-log 1617000266.4756715 total_accuracy:0.30180320143699646, total_samples_cnt:26176
AI-Rank-log 1617000266.626911 total_accuracy:0.3014346957206726, total_samples_cnt:26208
AI-Rank-log 1617000266.7310424 total_accuracy:0.3010670840740204, total_samples_cnt:26240
AI-Rank-log 1617000266.9127977 total_accuracy:0.3007003664970398, total_samples_cnt:26272
AI-Rank-log 1617000267.100197 total_accuracy:0.30033454298973083, total_samples_cnt:26304
AI-Rank-log 1617000267.2064648 total_accuracy:0.2999696433544159, total_samples_cnt:26336
AI-Rank-log 1617000267.3310666 total_accuracy:0.2996055781841278, total_samples_cnt:26368
AI-Rank-log 1617000267.5152338 total_accuracy:0.29924243688583374, total_samples_cnt:26400
AI-Rank-log 1617000267.618966 total_accuracy:0.2988801598548889, total_samples_cnt:26432
AI-Rank-log 1617000267.7548034 total_accuracy:0.29851874709129333, total_samples_cnt:26464
AI-Rank-log 1617000267.8607955 total_accuracy:0.298158198595047, total_samples_cnt:26496
AI-Rank-log 1617000267.972945 total_accuracy:0.35057297348976135, total_samples_cnt:26528
AI-Rank-log 1617000268.0774655 total_accuracy:0.3765060305595398, total_samples_cnt:26560
AI-Rank-log 1617000268.1998894 total_accuracy:0.37605294585227966, total_samples_cnt:26592
AI-Rank-log 1617000268.3048117 total_accuracy:0.3756009638309479, total_samples_cnt:26624
AI-Rank-log 1617000268.444302 total_accuracy:0.37515005469322205, total_samples_cnt:26656
AI-Rank-log 1617000268.5481591 total_accuracy:0.37470024824142456, total_samples_cnt:26688
AI-Rank-log 1617000268.6713703 total_accuracy:0.37425151467323303, total_samples_cnt:26720
AI-Rank-log 1617000268.7767005 total_accuracy:0.3738038241863251, total_samples_cnt:26752
AI-Rank-log 1617000269.001389 total_accuracy:0.37335720658302307, total_samples_cnt:26784
AI-Rank-log 1617000269.106848 total_accuracy:0.3729117214679718, total_samples_cnt:26816
AI-Rank-log 1617000269.2379172 total_accuracy:0.3724672198295593, total_samples_cnt:26848
AI-Rank-log 1617000269.342574 total_accuracy:0.3720238208770752, total_samples_cnt:26880
AI-Rank-log 1617000269.4800882 total_accuracy:0.3752972483634949, total_samples_cnt:26912
AI-Rank-log 1617000269.593227 total_accuracy:0.4082541763782501, total_samples_cnt:26944
AI-Rank-log 1617000269.7242842 total_accuracy:0.4077698886394501, total_samples_cnt:26976
AI-Rank-log 1617000269.840965 total_accuracy:0.40728673338890076, total_samples_cnt:27008
AI-Rank-log 1617000269.945052 total_accuracy:0.40680474042892456, total_samples_cnt:27040
AI-Rank-log 1617000270.06288 total_accuracy:0.4063238799571991, total_samples_cnt:27072
AI-Rank-log 1617000270.2603705 total_accuracy:0.40584415197372437, total_samples_cnt:27104
AI-Rank-log 1617000270.3654735 total_accuracy:0.40536558628082275, total_samples_cnt:27136
AI-Rank-log 1617000270.5150983 total_accuracy:0.4048881232738495, total_samples_cnt:27168
AI-Rank-log 1617000270.6200202 total_accuracy:0.40441176295280457, total_samples_cnt:27200
AI-Rank-log 1617000270.76724 total_accuracy:0.4039365351200104, total_samples_cnt:27232
AI-Rank-log 1617000270.8716953 total_accuracy:0.4034624397754669, total_samples_cnt:27264
AI-Rank-log 1617000271.0492427 total_accuracy:0.4029894471168518, total_samples_cnt:27296
AI-Rank-log 1617000271.156033 total_accuracy:0.40251755714416504, total_samples_cnt:27328
AI-Rank-log 1617000271.2833612 total_accuracy:0.4020467698574066, total_samples_cnt:27360
AI-Rank-log 1617000271.388701 total_accuracy:0.40157708525657654, total_samples_cnt:27392
AI-Rank-log 1617000271.510438 total_accuracy:0.4011085331439972, total_samples_cnt:27424
AI-Rank-log 1617000271.6150706 total_accuracy:0.4006410241127014, total_samples_cnt:27456
AI-Rank-log 1617000271.737279 total_accuracy:0.400174617767334, total_samples_cnt:27488
AI-Rank-log 1617000271.8420038 total_accuracy:0.3997093141078949, total_samples_cnt:27520
AI-Rank-log 1617000271.930238 total_accuracy:0.3992450535297394, total_samples_cnt:27552
AI-Rank-log 1617000272.0336637 total_accuracy:0.3987818956375122, total_samples_cnt:27584
AI-Rank-log 1617000272.1372757 total_accuracy:0.398319810628891, total_samples_cnt:27616
AI-Rank-log 1617000272.2424793 total_accuracy:0.39785879850387573, total_samples_cnt:27648
AI-Rank-log 1617000272.3488872 total_accuracy:0.39739882946014404, total_samples_cnt:27680
AI-Rank-log 1617000272.4528713 total_accuracy:0.3969399631023407, total_samples_cnt:27712
AI-Rank-log 1617000272.5583973 total_accuracy:0.39648211002349854, total_samples_cnt:27744
AI-Rank-log 1617000272.7361584 total_accuracy:0.3960253596305847, total_samples_cnt:27776
AI-Rank-log 1617000272.899362 total_accuracy:0.3955696225166321, total_samples_cnt:27808
AI-Rank-log 1617000273.0615852 total_accuracy:0.395114928483963, total_samples_cnt:27840
AI-Rank-log 1617000273.6474698 total_accuracy:0.3946613073348999, total_samples_cnt:27872
AI-Rank-log 1617000273.7371085 total_accuracy:0.394208699464798, total_samples_cnt:27904
AI-Rank-log 1617000273.9866896 total_accuracy:0.393757164478302, total_samples_cnt:27936
AI-Rank-log 1617000274.0760477 total_accuracy:0.3933066129684448, total_samples_cnt:27968
AI-Rank-log 1617000274.2319853 total_accuracy:0.3928571343421936, total_samples_cnt:28000
AI-Rank-log 1617000274.3209596 total_accuracy:0.39240866899490356, total_samples_cnt:28032
AI-Rank-log 1617000274.4839518 total_accuracy:0.3919612169265747, total_samples_cnt:28064
AI-Rank-log 1617000274.572807 total_accuracy:0.3915148079395294, total_samples_cnt:28096
AI-Rank-log 1617000274.739237 total_accuracy:0.3910693824291229, total_samples_cnt:28128
AI-Rank-log 1617000274.8284276 total_accuracy:0.390625, total_samples_cnt:28160
AI-Rank-log 1617000275.0228074 total_accuracy:0.39018163084983826, total_samples_cnt:28192
AI-Rank-log 1617000275.1119902 total_accuracy:0.3897392451763153, total_samples_cnt:28224
AI-Rank-log 1617000275.3388727 total_accuracy:0.38929784297943115, total_samples_cnt:28256
AI-Rank-log 1617000275.4272377 total_accuracy:0.38885748386383057, total_samples_cnt:28288
AI-Rank-log 1617000275.5746264 total_accuracy:0.3884180784225464, total_samples_cnt:28320
AI-Rank-log 1617000275.664 total_accuracy:0.3879796862602234, total_samples_cnt:28352
AI-Rank-log 1617000275.7988064 total_accuracy:0.3875422477722168, total_samples_cnt:28384
AI-Rank-log 1617000275.8875327 total_accuracy:0.3871058523654938, total_samples_cnt:28416
AI-Rank-log 1617000276.288984 total_accuracy:0.38667044043540955, total_samples_cnt:28448
AI-Rank-log 1617000276.3783598 total_accuracy:0.38623595237731934, total_samples_cnt:28480
AI-Rank-log 1617000276.5024269 total_accuracy:0.3858024775981903, total_samples_cnt:28512
AI-Rank-log 1617000276.5915792 total_accuracy:0.3853699862957001, total_samples_cnt:28544
AI-Rank-log 1617000276.804214 total_accuracy:0.38493841886520386, total_samples_cnt:28576
AI-Rank-log 1617000276.8932078 total_accuracy:0.38450783491134644, total_samples_cnt:28608
AI-Rank-log 1617000277.232648 total_accuracy:0.3840782046318054, total_samples_cnt:28640
AI-Rank-log 1617000277.3215947 total_accuracy:0.3836495578289032, total_samples_cnt:28672
AI-Rank-log 1617000277.4651852 total_accuracy:0.3832218647003174, total_samples_cnt:28704
AI-Rank-log 1617000277.5536525 total_accuracy:0.386275053024292, total_samples_cnt:28736
AI-Rank-log 1617000277.7822948 total_accuracy:0.3858453631401062, total_samples_cnt:28768
AI-Rank-log 1617000277.8705692 total_accuracy:0.3854166865348816, total_samples_cnt:28800
AI-Rank-log 1617000278.0299296 total_accuracy:0.3849889039993286, total_samples_cnt:28832
AI-Rank-log 1617000278.1197479 total_accuracy:0.38456207513809204, total_samples_cnt:28864
AI-Rank-log 1617000278.300334 total_accuracy:0.38413622975349426, total_samples_cnt:28896
AI-Rank-log 1617000278.3895674 total_accuracy:0.3837112784385681, total_samples_cnt:28928
AI-Rank-log 1617000278.5273962 total_accuracy:0.3832872807979584, total_samples_cnt:28960
AI-Rank-log 1617000278.6165867 total_accuracy:0.38286423683166504, total_samples_cnt:28992
AI-Rank-log 1617000278.7841232 total_accuracy:0.3824421167373657, total_samples_cnt:29024
AI-Rank-log 1617000278.8739235 total_accuracy:0.3820209205150604, total_samples_cnt:29056
AI-Rank-log 1617000279.021609 total_accuracy:0.38160064816474915, total_samples_cnt:29088
AI-Rank-log 1617000279.110872 total_accuracy:0.3811813294887543, total_samples_cnt:29120
AI-Rank-log 1617000279.289334 total_accuracy:0.38076290488243103, total_samples_cnt:29152
AI-Rank-log 1617000279.3784928 total_accuracy:0.3803454041481018, total_samples_cnt:29184
AI-Rank-log 1617000279.5343766 total_accuracy:0.3799288272857666, total_samples_cnt:29216
AI-Rank-log 1617000279.6240644 total_accuracy:0.379513144493103, total_samples_cnt:29248
AI-Rank-log 1617000279.7648282 total_accuracy:0.37909838557243347, total_samples_cnt:29280
AI-Rank-log 1617000279.8532505 total_accuracy:0.37868449091911316, total_samples_cnt:29312
AI-Rank-log 1617000280.4365313 total_accuracy:0.37827152013778687, total_samples_cnt:29344
AI-Rank-log 1617000280.52548 total_accuracy:0.3778594732284546, total_samples_cnt:29376
AI-Rank-log 1617000280.6685834 total_accuracy:0.37744829058647156, total_samples_cnt:29408
AI-Rank-log 1617000280.7570548 total_accuracy:0.37703803181648254, total_samples_cnt:29440
AI-Rank-log 1617000280.9206042 total_accuracy:0.37662866711616516, total_samples_cnt:29472
AI-Rank-log 1617000281.0100265 total_accuracy:0.376220166683197, total_samples_cnt:29504
AI-Rank-log 1617000281.2495987 total_accuracy:0.3758125603199005, total_samples_cnt:29536
AI-Rank-log 1617000281.3393416 total_accuracy:0.37540584802627563, total_samples_cnt:29568
AI-Rank-log 1617000281.8815598 total_accuracy:0.375, total_samples_cnt:29600
AI-Rank-log 1617000281.9697683 total_accuracy:0.3745950162410736, total_samples_cnt:29632
AI-Rank-log 1617000282.103414 total_accuracy:0.37419092655181885, total_samples_cnt:29664
